#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
,,North America,,"103,258,063","+1,688","1,479,802",+11,"97,104,243","+4,032","4,674,018","8,172",,,,,,North America,,,,,,,
,,Asia,,"159,048,701","+123,013","1,435,349",+164,"153,097,659","+168,548","4,515,693","10,565",,,,,,Asia,,,,,,,
,,South America,,"58,506,075",+396,"1,301,112",,"55,484,654",+497,"1,720,309","10,530",,,,,,South America,,,,,,,
,,Europe,,"198,869,376","+5,594","1,848,000",+87,"190,495,118","+78,092","6,526,258","5,764",,,,,,Europe,,,,,,,
,,Oceania,,"9,227,492","+31,944","13,090",+50,"8,873,559","+5,882","340,843",135,,,,,,Australia/Oceania,,,,,,,
,,Africa,,"12,207,688",,"255,338",,"11,414,180",,"538,170",988,,,,,,Africa,,,,,,,
,,,,721,,15,,706,,0,0,,,,,,,,,,,,,
,World,"541,118,116","+162,635","6,332,706",+312,"516,470,119","+257,051","18,315,291","36,154","69,420",812.4,,,,All,,,,,,,
1,USA,"87,424,846",,"1,036,084 ",,"83,245,798",,"3,142,964","2,800","261,144","3,095","1,040,105,263","3,106,865","334,776,423 ",North America,43230,,,"9,388"
2,India,"43,236,695",,"524,777 ",,"42,661,370",,"50,548",698,"30,743",373,"855,108,879","608,019","1,406,384,242 ",Asia,"332,6802",,,36
3,Brazil,"31,497,038",,"668,230 ",,"30,219,236",,"609,572","8,318","146,160","3,101","63,776,166","295,949","215,497,163 ",South America,73223,,,"2,829"
4,France,"29,858,393",,"148,841 ",,"29,242,524",,"467,028",869,"455,476","2,270","271,490,188","4,141,455","65,554,307 ",Europe,24400,,,"7,124"
5,Germany,"26,886,447",,"140,213 ",,"25,999,100","+59,200","747,134",631,"318,920","1,663","122,332,384","1,451,073","84,304,782 ",Europe,36011,,,"8,862"
6,UK,"22,410,583",,"179,274 ",,"22,045,389",,"185,920",188,"326,783","2,614","522,526,476","7,619,299","68,579,336 ",Europe,33830,,,"2,711"
7,Russia,"18,382,380","+2,797","380,137 ",+61,"17,801,569","+3,324","200,674","2,300","125,858","2,603","273,400,000","1,871,883","146,056,108 ",Europe,83841,19,0.4,"1,374"
8,S. Korea,"18,239,056","+9,768","24,390 ",+2,"18,028,899","+16,550","185,767",98,"355,157",475,"15,804,065","307,742","51,354,960 ",Asia,"32,1063",190,0.04,"3,617"
9,Italy,"17,664,043",,"167,432 ",,"16,879,683",,"616,928",193,"292,989","2,777","223,100,172","3,700,512","60,289,007 ",Europe,33600,,,"10,233"
10,Turkey,"15,072,747",,"98,965 ",,"14,971,256",,"2,526",975,"175,054","1,149","162,743,369","1,890,088","86,103,597 ",Asia,68701,,,29
11,Spain,"12,478,994",,"107,108 ",,"11,939,322",,"432,564",339,"266,702","2,289","471,036,328","10,067,034","46,789,983 ",Europe,44370,,,"9,245"
12,Vietnam,"10,732,429",,"43,083 ",,"9,562,523",,"1,126,823",53,"108,363",435,"85,820,575","866,512","99,041,436 ",Asia,"92,2991",,,"11,377"
13,Argentina,"9,313,453",,"128,994 ",,"8,895,999",,"288,460",344,"202,457","2,804","35,716,069","776,400","46,002,135 ",South America,53571,,,"6,271"
14,Japan,"9,061,936","+10,204","30,910 ",+19,"8,879,350","+18,570","151,676",61,"72,078",246,"54,915,428","436,794","125,723,891 ",Asia,"144,0672",81,0.2,"1,206"
15,Netherlands,"8,107,944",,"22,336 ",,"8,046,107",,"39,501",33,"471,157","1,298","21,107,399","1,226,563","17,208,579 ",Europe,27701,,,"2,295"
